"Scene","Character","Sayings"
"Scene_18:_The_DMV","Judy Hopps","2-9-T--"
"Scene_18:_The_DMV","Flash Slothmore","...number?"
"Scene_18:_The_DMV","Judy Hopps","[sighs faintly] 2-9-T-H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","2... 9..."
"Scene_18:_The_DMV","Judy Hopps","T-H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...T..."
"Scene_18:_The_DMV","Judy Hopps","[Her ears droop. She's starting to lose her patience] H-D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...H..."
"Scene_18:_The_DMV","Judy Hopps","[she briefly looks away and scowls] D-0-3."
"Scene_18:_The_DMV","Flash Slothmore","...D..."
"Scene_18:_The_DMV","Judy Hopps","[slightly strained] Mm-hmm, 0-3."
"Scene_18:_The_DMV","Flash Slothmore","...0..."
"Scene_18:_The_DMV","Judy Hopps","[desperately] 3!"
"Scene_18:_The_DMV","Nick Wilde","Hey, Flash, wanna hear a joke?"
"Scene_18:_The_DMV","Judy Hopps","[to Nick] No!"
"Scene_18:_The_DMV","Flash Slothmore","Sure."
"Scene_18:_The_DMV","Nick Wilde","Okay. [inhales] What do you call a three-humped camel? [he holds up three fingers]"
"Scene_18:_The_DMV","Flash Slothmore","I don't... know. What... do... you call... a..."
"Scene_18:_The_DMV","Judy Hopps","[losing her patience, trying to move the joke along] Three-humped camel."
"Scene_18:_The_DMV","Flash Slothmore","...three-humped... camel?"
"Scene_18:_The_DMV","Nick Wilde","Pregnant! [laughs, elbowing Judy, who has an annoyed look and briefly glares at Nick. Flash slowly smiles, opening his mouth, and laughs slowly]"
"Scene_18:_The_DMV","Flash Slothmore","Ha... Ha... Heh... Ha..."
"Scene_18:_The_DMV","Judy Hopps","Ha ha! Yes, very funny, very funny. Can we please just focus on the task?"
"Scene_18:_The_DMV","Flash Slothmore","[turns the other way] Hey..."
"Scene_18:_The_DMV","Judy Hopps","[caught by surprise] W-Wait, wait, wait!"
"Scene_18:_The_DMV","Flash Slothmore","...Priscilla. [Priscilla turns to him, slowly]"
"Scene_18:_The_DMV","Judy Hopps","Oh, no!"
"Scene_18:_The_DMV","Priscilla Tripletoe","Yes... Flash?"
"Scene_18:_The_DMV","Flash Slothmore","What... do..."
"Scene_18:_The_DMV","Judy Hopps","[exhales a small gasp] No...!"
"Scene_18:_The_DMV","Flash Slothmore","...you call..."
"Scene_18:_The_DMV","Judy Hopps","[over Flash] A three-humped camel? Pregnant!"
"Scene_18:_The_DMV","Flash Slothmore","...a three..."
"Scene_18:_The_DMV","Judy Hopps","Okay! Great! We got it! Please, just..."
"Scene_18:_The_DMV","Flash Slothmore","...humped..."
"Scene_18:_The_DMV","Flash Slothmore","Here..."
"Scene_18:_The_DMV","Judy Hopps","Yes! Yeah, yeah, yeah, hurry."
"Scene_18:_The_DMV","Flash Slothmore","...you..."
"Scene_18:_The_DMV","Judy Hopps","[hastily grabs the paper] Thank you! 2-9-T-H-D-0-3..."
"Scene_18:_The_DMV","Flash Slothmore","...go."
"Scene_18:_The_DMV","Judy Hopps","It's registered to... Tundratown Limo Service! A limo took Otterton! And the limo's in Tundratown! [quickly runs out] It's in Tundratown!"
"Scene_18:_The_DMV","Nick Wilde","[to Flash] Way to hustle, bud. I love ya! I owe ya! [Judy and Nick walk out of the DMV]"
"Scene_18:_The_DMV","Judy Hopps","Hurry! We gotta beat the rush hour and-- [looks outside, shocked, as she sees that it's already nighttime. A cricket chirps offscreen] It's night?! [her voice slightly echoes]"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Closed! Great."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Hm. And I will betcha you don't have a warrant to get in, hmm? Darn it. It's a bummer."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","You wasted the day on purpose!"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Madam, [points to his police sticker] I have a fake badge. I would never impede your pretend investigation."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","It's not a ""pretend investigation"". [takes out the Otterton picture] Look, see? See him? This otter is missing."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Well, then they should've gotten a real cop to find him."
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","[really upset, puts the picture away] What is your problem? Does seeing me fail somehow make you feel better about your own sad, miserable life?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","It does, 100%. [grins] Now, since you're sans warrant, I guess we're... done?"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","[sighs] Fine. We are done. [holds out her pen] Here's your pen. [grinning, Nick starts to grab the pen, until Judy throws it over the other side of the fence]"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Hey! [the pen lands in the snow] First off, you throw like a bunny. Second, you're a very sore loser. [starts climbing the fence] See you later, Officer Fluff! So sad this is over. I wish I could've helped more! [Nick jumps down, but is shocked to find Judy before him, holding the pen]"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","The thing is, [camera zooms out, revealing Judy dug underneath the fence] you don't need a warrant if you have probable cause, and I'm pretty sure I saw a shifty lowlife climbing the fence. So you're helping plenty! Come on! [heads off, smiling cheekily, with Nick glaring at her. Judy uses her phone light and wipes the snow off the license plate] 2-9-T-H-D-0-3... This is it! [Nick opens the passenger door and Judy opens the driver's door. Cold mist comes out from the car. Judy looks around the pedal and the brake and sees a strand of white hair. She picks it up with a pair of tweezers.] Polar bear fur. [Nick nods, rolling his eyes. He exhales, as shown by his visible breath. He then opens the glove compartment and suddenly jumps back in alarm.]"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Oh my God!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","What? What?! [Nick takes out a bunch of CDs. One of them has a picture of a smiling vole on it.]"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","The Velvety Pipes of Jerry Vole! [grins, Judy looks at him annoyed, puts the polar bear fur in a plastic bag] But on CD. Who still uses CDs? [tosses the CDs back]"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Carrots? If your otter was here, he had a very bad day. [Judy goes to take a look. The back is ripped and claw marks are shown everywhere.]"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Those are... claw marks. You ever seen anything like this?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","No. [Judy looks around and sees a wallet]"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Oh, wait. Look! [Judy and Nick hop down. Judy looks at the wallet, seeing Mr. Otterton's picture] This is him. Emmitt Otterton. He was definitely here. What do you think happened?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","Well, now, wait a minute. Polar bear fur, rat-pack music, fancy cup? [Nick suddenly shows fear, and starts putting the cup back and organizing the cups frantically] I know whose car this is, we gotta go!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","Why? Whose car is it?"
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","The most feared crime boss in Tundratown. They call him Mr. Big, and he does not like me, [flails his arms around and points with both hands] so we gotta go!"
"Scene_19:_Tundratown_Limo_Service","Judy Hopps","I'm not leaving. This is a crime scene."
"Scene_19:_Tundratown_Limo_Service","Nick Wilde","[grabs Judy and starts to head out] Well, it's gonna be an even bigger crime scene if Mr. Big finds me here, so we're leaving, right now! [Nick opens the door where two polar bears are waiting outside. Nick recoils and jumps back, startled] Oh, gah! [he tries to hide his nervousness by looking suave] Raymond! And is that Kevin? Long time no see! And speaking of ""no see"", how about you forget you saw [pointing at himself] me. Huh? For old time's sake? [Raymond and Kevin grab Judy and Nick by their necks] That's a no."
"Scene_20:_Mr._Big","Judy Hopps","[whispers] What did you do that made Mr. Big so mad at you?"
"Scene_20:_Mr._Big","Nick Wilde","[whispers] I, um... I may have sold him a very expensive wool rug that was made from the fur of a skunk'ssss... butt. [Judy briefly looks at him with a shocked look on her face, before it turns into one of resignation]"
"Scene_20:_Mr._Big","Judy Hopps","Oh, sweet cheese and crackers."
"Scene_20:_Mr._Big","Judy Hopps","[whispers] Is that Mr. Big?"
"Scene_20:_Mr._Big","Nick Wilde","[whispers] No."
"Scene_20:_Mr._Big","Judy Hopps","What about him? Is that him?"
"Scene_20:_Mr._Big","Nick Wilde","No!"
"Scene_20:_Mr._Big","Judy Hopps","[gasps at the sight of him] That's gotta be him."
"Scene_20:_Mr._Big","Nick Wilde","[whispering through gritted teeth] Stop talking, stop talking, stop talking!"
"Scene_20:_Mr._Big","Judy Hopps","[tilts her head slightly] Huh."
"Scene_20:_Mr._Big","Nick Wilde","Mr. Big, sir, this is a simple misunder- [Mr. Big grunts and holds out his hand, showing a ring on his finger] Oh, here! [Nick kisses the ring] Ahh. This is a simple misunderstanding."
"Scene_20:_Mr._Big","Mr. Big","[grunts; speaking in a Marlon Brando Godfather style voice] You come here unannounced on the day my daughter is to be married."
"Scene_20:_Mr._Big","Nick Wilde","Well, actually, we were brought here against our will, so... [laughs nervously; Mr. Big raises an eyebrow slightly] The point is, I-I did not know that it was your car, and I certainly did not know about your daughter's wedding!"
"Scene_20:_Mr._Big","Mr. Big","Hmm. I trusted you, Nicky. I welcomed you into my home. [Nick hangs his head in shame and guilt] We broke bread together. Grandmama made you a cannoli. [shows a picture of an elderly shrew] And how did you repay my generosity? With a rug. Made from the butt of a skunk. [looks down, shaking his head slightly] A skunk butt rug. You disrespected me. You disrespected my Grandmama, who I buried in that skunk butt rug. [Koslov crosses his chest in prayer and looks up gloomily.] I told you never to show your face here again, but here you are, snooping around with this... [looks at Judy] What are you, a performer? What's with the costume?"
"Scene_20:_Mr._Big","Judy Hopps","Sir, I am a co-"
"Scene_20:_Mr._Big","Nick Wilde","[interrupts] Mime! She is a mime! This [pushes Judy's shoulder roughly, glaring and pointing at her] mime cannot speak! You can't speak if you're a mime!"
"Scene_20:_Mr._Big","Judy Hopps","No, I am a cop. [Nick sighs and facepalms; Judy shows the Otterton picture] And I'm on the Emmitt Otterton case, and my evidence puts him in your car! [gets her face close to Mr. Big] So intimidate me all you want, I'm gonna find out what you did to that otter if it's the last thing I do. [Nick looks at her, shocked and facepalms again]"
"Scene_20:_Mr._Big","Mr. Big","[grunts] Then I have only one request: [he briefly smiles] say hello to Grandmama. [to the polar bears] Ice 'em!"
"Scene_20:_Mr._Big","Nick Wilde","Whoa, whoa, whoa! [Judy steps away from the desk in fear and confusion, just as one of the polar bear guards picks her up by the back of her shirt] I-I-I-I-I-I didn't see nothing! I'm not saying nothing! [The other one grabs Nick's scruff and pulls him away, he digs his claws in the desk, leaving claw marks.]"
"Scene_20:_Mr._Big","Mr. Big","And you never will."
"Scene_20:_Mr._Big","Nick Wilde","Please!"
"Scene_20:_Mr._Big","Judy Hopps","Put me down! [the polar bears move a carpet and open a trap door, revealing an icy pit.]"
"Scene_20:_Mr._Big","Nick Wilde","No, no, no, no, no! If you're mad at me about the rug, I've got more rugs! [Fru Fru enters the room, wearing a wedding dress.]"
"Scene_20:_Mr._Big","Fru Fru","Oh, Daddy! [she twirls, holding his hand] It's time for our dance! [she sees the polar bears holding Judy and Nick above the icy pit and gets upset] Ugh! What did we say? No icing anyone at my wedding!"
"Scene_20:_Mr._Big","Mr. Big","I have to, baby, daddy has to. Ice 'em!"
"Scene_20:_Mr._Big","Nick Wilde","No, no, no!"
"Scene_20:_Mr._Big","Fru Fru","Wait. Wait! [the polar bears stop again] She's the bunny that saved my life yesterday! From that giant donut!"
"Scene_20:_Mr._Big","Mr. Big","This bunny?"
"Scene_20:_Mr._Big","Fru Fru","Yeah! [waves to Judy] Hi!"
"Scene_20:_Mr._Big","Judy Hopps","Hi. I love your dress!"
"Scene_20:_Mr._Big","Fru Fru","[curtsies] Aw... Thank you!"
"Scene_20:_Mr._Big","Mr. Big","Hm. Put 'em down. [the polar bears close the trap door and put Judy and Nick down; to Judy] You have done me a great service. I will help you find the otter. I will take your kindness and pay it forward. [He extends his arms with a smile. Judy leans forward and Mr. Big kisses her on both cheeks. Nick looks at them, dumbfounded, as his jaw drops a little.]"
"Scene_21:_Discussing_Otterton","Shrews","Hey! Hey! Hey! Hey!"
"Scene_21:_Discussing_Otterton","Nick Wilde","Hmm... [he looks at the cake, scoffs, and uses a tiny fork to cut part of the cake and eats it. He nods his head slightly to the side with a smile, apparently liking it]"
"Scene_21:_Discussing_Otterton","Mr. Big","Otterton is my florist. He's like a part of the family. He had something important he wanted to discuss. That's why I sent that car to pick him up. But he never arrived."
"Scene_21:_Discussing_Otterton","Judy Hopps","Because he was attacked."
"Scene_21:_Discussing_Otterton","Mr. Big","No. He attacked. [Judy and Nick are surprised]"
"Scene_21:_Discussing_Otterton","Judy Hopps","Otterton?"
"Scene_21:_Discussing_Otterton","Mr. Big","Otterton. He went crazy - ripped up the car, scared my driver half to death [his eyes are visible for a moment and widen as he says this last part], and disappeared into the night. [he holds his paw out for emphasis]"
"Scene_21:_Discussing_Otterton","Judy Hopps","But he's a sweet little otter."
"Scene_21:_Discussing_Otterton","Mr. Big","Hmm. My child, we may be evolved, but deep down, we are still animals. [Judy and Nick show looks of concern.]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Mr. Big","[voiceover] You wanna find Otterton, talk to the driver of the car. His name is Manchas. Lives in the Rainforest District. Only he can tell you more."
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Mr. Manchas? Judy Hopps, ZPD. We just wanna know what happened to Emmitt Otterton. [the door opens slowly revealing Manchas, a big black jaguar. Judy and Nick tensely look at him in suspense.]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","You should be asking what happened to me! [he shows his right eye is badly scratched and bruised. Judy and Nick give shocked looks.]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Whoa. A teensy otter did that?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","What happened?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","He was an animal. [A flashback shows Manchas driving the limo when he hears snarling and ripping from the back] Down on all fours. [Manchas from flashback adjusts his rear view mirror and sees Otterton tearing the car seats] He was a savage!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","There was no warning. He just kept yelling about the Night howlers. Over and over, the Night howlers! [Nick looks at Judy and she shrugs]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Oh, so, you know about the Night howlers, too. Good, good, good. Because the Night howlers are exactly what we are here to talk about, right?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Yep. So, uh, you just open the door and tell us what you know, and we will tell you what we know. Okay?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Renato Manchas","Okay. [Manchas closes the door and starts to unlock it]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","[to Nick] Clever fox. [Nick smirks]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Mr. Manchas? [Judy opens the door and sees Manchas hunched over on the floor, twitching and convulsing horribly]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Buddy?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Are you... okay? [Manchas stops convulsing and turns to them growling with his teeth bared, and pupils now slits] Run. Run! [as the rain becomes a downpour, Judy and Nick race away from the house with Manchas chasing them like a primal predator]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","What is wrong with him?!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","I don't know! [Manchas leaps on the bridge, flinging Judy and Nick in the air, until they reach the end of the bridge] Jump! [Judy and Nick jump as Manchas leaps towards them. They land on a branch, with Nick grunting in pain.] Come on! [Judy and Nick run on the branch with Manchas chasing them. They head into a log and crawl through with Manchas tearing it to get at them] Head down! [talks on her radio] Officer Hopps to Dispatch! [at the ZPD, Clawhauser shows his phone to the wolf prisoner, as his microphone is beeping]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","Are you familiar with Gazelle? Greatest singer of our lifetime? Angel with horns? [The wolf prisoner shrugs] Okay, hold on. Keep watching. Who's that beside her? Who is it?"
"Scene_22:_The_Chase_in_the_Rainforest_District","Gazelle App","Wow, you are one hot dancer, Benjamin Clawhauser."
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","[laughs] It's me! [The wolf prisoner shoots a quick glance at the polar bear officer escorting him] Did you think it was real? It looks so real! [Slightly disappointed] It's not, it's just a new app. [sees his microphone beeping] Hold on a second. [Clawhauser answers his microphone and gets startled by Judy's yelling. He juggles the microphone for a moment.]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","CLAWHAUSER! Clawhauser, listen to me, we have a 10-91! Jaguar gone savage! Vine and Tudjunja!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","It's ""Tuh-hunga""! [Nick grabs Judy's paw and pulls her. Judy slips and the radio falls out of her hands]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Benjamin Clawhauser","Okay, we're sending backup! Hopps? HOPPS!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","There! Head to the sky-trams!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","Get in! Carrots? Carrots!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Go! [Manchas moves towards him and the gondola leaves]"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","No, no, no, no! [sees Manchas coming towards him] Buddy, one predator to another... No, no, no, no! [Manchas leaps towards Nick, but is stopped a few feet away from him. Judy has handcuffed his leg to a post.] Now I can tell you're a little tense, so I'm just gonna give you a little personal space! [Manchas snarls and lunges at Nick, knocking him backwards into Judy. They fall off the ledge, Judy grabs a vine and grabs Nick's paw and they swing back and forth under the bridge.] Rabbit, whatever you do, do not let go!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","[seeing a vine cluster nearby] I'm gonna let go!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","No! You what?!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","One... Two..."
"Scene_22:_The_Chase_in_the_Rainforest_District","Nick Wilde","I said do not- Rabbit! [Judy lets go and they're sent flying off and land on vines. They see Manchas snarling and growling over the sky tram entrance. Nick glances at Judy in amazement] Carrots, you saved my life!"
"Scene_22:_The_Chase_in_the_Rainforest_District","Judy Hopps","Well, that's what we do here at the ZPD-"
"Scene_22:_The_Chase_in_the_Rainforest_District","Chief Bogo","Well, this should be good."
"Scene_23:_Nick's_Childhood","Judy Hopps","I thought this was just a missing mammal case, but it's way bigger. Mr. Otterton did not just disappear. I believe he, and this jaguar, they... they went savage, sir."
"Scene_23:_Nick's_Childhood","Chief Bogo","Savage? This isn't the stone age, Hopps. Animals don't ""go savage""."
"Scene_23:_Nick's_Childhood","Judy Hopps","I thought so too... 'Till I saw this. [Judy moves the leaves to show Manchas, but he's no longer there] What? He was right here!"
"Scene_23:_Nick's_Childhood","Chief Bogo","The savage jaguar?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Sir, I know what I saw. He almost killed us!"
"Scene_23:_Nick's_Childhood","Chief Bogo","Or maybe any aggressive predator looks ""savage"" to you rabbits. [to the ZPD] Let's go! [starts to leave; Judy tries to stop him]"
"Scene_23:_Nick's_Childhood","Judy Hopps","No. Wait! Sir, I'm not the only one who saw him. [looks at Nick, who is between the officers] Nick!"
"Scene_23:_Nick's_Childhood","Chief Bogo","[scoffs] You think I'm gonna believe a fox?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Well, he was a key witness, and I-"
"Scene_23:_Nick's_Childhood","Chief Bogo","Two days to find the otter, or you quit. That was the deal. [holds out his hoof] Badge. [Nick looks at Judy and Chief Bogo, shocked]"
"Scene_23:_Nick's_Childhood","Judy Hopps","But sir, we had--"
"Scene_23:_Nick's_Childhood","Chief Bogo","BADGE!"
"Scene_23:_Nick's_Childhood","Nick Wilde","Uh, no."
"Scene_23:_Nick's_Childhood","Chief Bogo","[looking at him incredulously] What did you say, fox?"
"Scene_23:_Nick's_Childhood","Nick Wilde","Sorry, what I said was, ""No!"" She will not be giving you that badge. [Chief Bogo grunts irritably] Look, you gave her a... a clown vest, a three-wheeled joke-mobile, and two days to solve a case you guys haven't cracked in two weeks? [Chief Bogo looks slightly ashamed] Yeah, it's no wonder she needed to get help from a fox. None of you guys were gonna help her, were you? [Chief Bogo tries to speak but Nick cuts him off] Here's the thing, chief. You gave her the 48 hours, so technically we still have... [counts and holds out his paws] ten left to find our Mr. Otterton, and that is exactly what we're gonna do. So, if you'll excuse us, we have a very big lead to follow, and a case to crack. Good day."
"Scene_23:_Nick's_Childhood","Nick Wilde","Officer Hopps."
"Scene_23:_Nick's_Childhood","Judy Hopps","Thank you."
"Scene_23:_Nick's_Childhood","Nick Wilde","Never let 'em see that they get to you."
"Scene_23:_Nick's_Childhood","Judy Hopps","So... things do get to you?"
"Scene_23:_Nick's_Childhood","Nick Wilde","Oh, I mean, not anymore, but I was small and emotionally unbalanced like you once."
"Scene_23:_Nick's_Childhood","Judy Hopps","[sarcastic, rolls her eyes and looks away] Har-har."
"Scene_23:_Nick's_Childhood","Nick Wilde","No, it's true. [Judy looks at him] I think I was eight or maybe nine, and all I wanted to do was join the Junior Ranger Scouts. [A flashback shows a young Nick in front of a mirror being fitted in a scout's uniform by his mother. Young Nick stands straight, trying to look fierce. She tickles him from behind, causing him to flinch and giggle] So, my mom scraped together enough money to buy me a brand new uniform, because by God I was gonna fit in, even if I was the only predator in the troop, the only fox. [Young Nick enters the Junior Ranger Scouts where he is greeted by the scouts; a zebra, a hippo, a goat, a woodchuck, and an antelope]"
"Scene_23:_Nick's_Childhood","Woodchuck bully","Okay, Nick."
"Scene_23:_Nick's_Childhood","Nick Wilde","I was gonna be part of a pack."
"Scene_23:_Nick's_Childhood","Woodchuck bully","Ready for initiation?"
"Scene_23:_Nick's_Childhood","Young Nick Wilde","Yeah! Pretty much born ready. [he comes down the stairs with a confident smile]"
"Scene_23:_Nick's_Childhood","Nick Wilde","I was so proud."
"Scene_23:_Nick's_Childhood","Woodchuck bully","Okay. Now raise your right paw and deliver the oath."
"Scene_23:_Nick's_Childhood","Young Nick Wilde","[raises his paw with two fingers up] I, Nicholas Wilde, promise to be brave, loyal, helpful, and trustworthy!"
"Scene_23:_Nick's_Childhood","Woodchuck bully","[his smile suddenly fades] Even though you're a fox?"
"Scene_23:_Nick's_Childhood","Young Nick Wilde","[confused] What? [The Woodchuck bully turns off the flashlight. Then Young Nick gets roughly pushed to the floor and is held down by two of the Ranger Scouts. All of them glare at him.] No, no! What did I do wrong, you guys?! No, please! Tell me! What did I do wrong?! [Woodchuck bully straps a muzzle on Young Nick] What did I do?! [shakes his head] No!"
"Scene_23:_Nick's_Childhood","Woodchuck bully","[chuckles darkly] If you thought we would ever trust a fox without a muzzle, you're even dumber than you look! [Young Nick runs out of the building and goes to the side, terrified. The others laugh cruelly.]"
"Scene_23:_Nick's_Childhood","Junior Ranger Scout 2:","Junior Ranger Scout 2: [from inside] Crybaby!"
"Scene_23:_Nick's_Childhood","Junior Ranger Scout 3","[from inside] Aw, is he gonna cry?"
"Scene_23:_Nick's_Childhood","Nick Wilde","[narrating] I learned two things that day. [the flashback ends and we return the present] One: I was never gonna let anyone see that they got to me."
"Scene_23:_Nick's_Childhood","Judy Hopps","And two?"
"Scene_23:_Nick's_Childhood","Nick Wilde","If the world's only gonna see a fox as shifty and untrustworthy, there's no point in trying to be anything else."
"Scene_23:_Nick's_Childhood","Judy Hopps","Nick, you are so much more than that. [Judy places her paw on Nick's arm. Nick looks at her and pulls back.]"
"Scene_23:_Nick's_Childhood","Nick Wilde","[inhales, trying to change the subject, looking out of the car] Boy, look at that traffic down there. How about we go up to Chuck in traffic central? [puts two fingers up to his ear, imitating a reporter] Chuck, how're things looking on the jam-cams?"
"Scene_23:_Nick's_Childhood","Judy Hopps","Nick, I'm glad you told me."
"Scene_23:_Nick's_Childhood","Nick Wilde","[gets an idea] The jam-cams..."
"Scene_23:_Nick's_Childhood","Judy Hopps","Seriously, it's okay-"
"Scene_23:_Nick's_Childhood","Nick Wilde","No, no, no, shh! There are traffic cameras everywhere, all over the canopy! [Points excitedly to one just above their heads hidden in the fronds of a fake palm tree.] Whatever happened to the jaguar..."
"Scene_23:_Nick's_Childhood","Judy Hopps","The traffic cams would have caught it!"
"Scene_23:_Nick's_Childhood","Nick Wilde","Bingo!"
"Scene_23:_Nick's_Childhood","Judy Hopps","Oh-ho, pretty sneaky, slick! [punches him in the arm]"
"Scene_23:_Nick's_Childhood","Nick Wilde","Eh, however, if you didn't have access to the system before, I doubt Chief Buffalo Butt is gonna let you into it now."
"Scene_23:_Nick's_Childhood","Judy Hopps","No... But I have a friend at City Hall who might!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Uh, sir, if we could just review these very important... Sir! [almost steps on a mouse, who looks at her in annoyance] Oh, I'm so sorry. Sir!"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","Okay! I heard you, Bellwether, just take care of it! [slams another folder on top of the pile] Please. And clear my afternoon, I'm going out."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","[follows Mayor Lionheart, trying to keep the folders balanced and gathering the scattering papers] Oh, no, but, sir, you do have a meeting with Herds and Grazing. Sir, if I can just...! [Mayor Lionheart enters his office and lets the doors slam right in Bellwether's face, making her spill everything] Oh, mutton chops. [she picks up the folders until she's approached by Judy and Nick. Judy helps pick up a folder]"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Assistant Mayor Bellwether, we need your help. [Judy and Nick are in Bellwether's office, where Bellwether types on her computer.] We just need to get into the traffic cam database."
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","[whispering happily] So fluffy!"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","[sees Nick, in a loud whisper] Hey!"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","Sheep never let me get this close."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","You can't just touch a sheep's wool!"
"Scene_24:_Assistance_from_Bellwether","Nick Wilde","It's like cotton candy!"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","[swats Nick's hand away] Stop it! [catches the wool back in place just before Bellwether turns to her]"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Where to?"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","[inhales] Uh, Rainforest District. Vine and Tujunga. [Judy glares at Nick, who just grins. Bellwether shows camera icons for the map on the computer]"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","There! Traffic cams for the whole city. Well, this is so exciting, actually. I mean, well, you know, I never get to do anything this important."
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","But you're the assistant mayor of Zootopia."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh, I'm more of a glorified secretary. [her ears briefly droop] I think Mayor Lionheart just wanted the sheep vote. But he did give me that nice mug! [She shows a coffee mug with the words ""World's Greatest Dad"" on it, with Dad crossed out and over it has ""Assistant Mayor"".]"
"Scene_24:_Assistance_from_Bellwether","Judy Hopps","Oh."
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","[smiling fondly] Hmm. Feels good to be appreciated."
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","[through intercom] Smellwether!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Ah. That's a fun little name he likes to use. I called him Lionfart once. He did not care for that. Let me tell you, it was not a good day for me. [answers it] Yes, sir?"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","[through intercom] I thought you were going to cancel my afternoon!"
"Scene_24:_Assistance_from_Bellwether","Dawn Bellwether","Oh, dear. [starts to leave] I better go. Let me know what you find. It was really nice for me to be-"
"Scene_24:_Assistance_from_Bellwether","Leodore Lionheart","[through intercom] While we're young, Smellwether!"
